,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
TotalPop,1.0,0.015695685006712326,-0.015695606219126673,0.1091616513522572,-0.02900708702793012,-0.1102359948514717,-0.034636892352333463,0.10135938535300992,0.02524190740824114,-0.19895225626213695,0.17420031799092567,-0.0058843347531200175,0.03254431912191642,-0.09136262515943962,-0.15154649096165054,-0.14605482114386337,0.07685447697732699,-0.10953297701910499,0.0700857992662489,-0.013678198659694232,-0.07588592743510343,0.10970066701859722,0.012217357485273165,-0.0780013557412931,-0.11323888655534209,-0.060101880465561745,-0.013403435590424001,0.10440927478932814,0.07204496644723352,0.042290811286524704,-0.002736497423051337,-0.08051963143803757,-0.03226033195520046,-0.12643675083125408
Men,0.015695685006712326,1.0,-0.9999999997898408,0.05875892339187915,0.08823788448848223,-0.2024085227061336,0.030298634553953454,0.01502300033382695,0.026472046024747307,-0.008600959036902642,0.0478459826479937,0.0244852642898504,-0.014124964118478116,-0.015566746299474118,-0.05229985599702989,-0.06192795476890629,-0.033009064739720324,-0.04445553480399285,-0.1627616519389739,0.21586981090847338,0.06621909936838606,-0.015927635067160287,0.06964437604173769,-0.08202770365078052,0.07739046714877798,0.07001097102963974,0.06742730491809808,-0.03520289234191629,0.0031707997588357574,-0.045665647549142804,0.006900100628468243,0.0790106990575251,0.03784269200882444,-0.09275695364671711
Women,-0.015695606219126673,-0.9999999997898408,1.0,-0.058758825787742455,-0.08823806559482279,0.2024086792820902,-0.030298670938064598,-0.015022990312689099,-0.026472041920101885,0.00860090360981297,-0.04784599702872203,-0.024485242607813592,0.014124936759962434,0.015566743505413774,0.05230000402085662,0.061928104976019735,0.03300909018908848,0.04445559431863999,0.16276165200938678,-0.21587009021444445,-0.06621899378202914,0.015927485853904955,-0.06964440491376699,0.08202793427446614,-0.07739039494724657,-0.07001114497639833,-0.0674273761712917,0.035203053944508726,-0.0031708728605678114,0.04566564412419673,-0.006900053291420855,-0.07901076898732606,-0.037842806691900543,0.09275697123510347
Hispanic,0.1091616513522572,0.05875892339187915,-0.058758825787742455,1.0,-0.659432107630549,-0.11668421492640522,-0.039617111660972815,0.031586261755627565,0.018791912984086175,-0.6309776852068317,-0.22805213966302804,-0.0957032177749529,-0.3087818783050477,-0.16747120343750302,0.35006581147879257,0.3235979254496463,-0.3356927568864386,0.2901019547042832,0.007189350752138703,0.2691392793869545,0.13265565649426533,-0.18980466009606256,0.2673970668410765,0.13616037291076216,0.024226420104745676,0.12048330704167459,-0.15390470165575468,0.11982330969911671,-0.18938039453996228,0.05754173433805189,-0.09455587128392985,0.06291458591363666,-0.02736454657224898,0.22536550759032234
White,-0.02900708702793012,0.08823788448848223,-0.08823806559482279,-0.659432107630549,1.0,-0.5822811690425083,-0.0739687076599078,-0.2531238353359754,-0.09508330602236345,0.5898833432755908,0.3147854606601269,0.1024401371443771,0.38126792173487184,0.17913554138376858,-0.5297400031310289,-0.49859099701993115,0.35148529080881574,-0.4747284623297229,-0.029643104333487495,-0.04085935373921484,-0.127589810157367,0.36642478102260917,-0.2589417743369743,-0.36829016004960274,-0.07237545769600666,-0.14166538661542152,0.2416540300966295,-0.2072411826980946,0.2983184043993366,-0.039452557559111576,-0.02780746304826566,0.12911356649911765,0.064826037543676,-0.49532152720039246
Black,-0.1102359948514717,-0.2024085227061336,0.2024086792820902,-0.11668421492640522,-0.5822811690425083,1.0,-0.05240003809977207,-0.10787129068635554,-0.03751937284179812,-0.07040120778669888,-0.3105307635472975,-0.12588377147940194,-0.28388411246695533,-0.12058710571263538,0.4110725736880926,0.4131076655948531,-0.2473963120683515,0.3784200866701155,0.056579247822550645,-0.13098322049896918,0.14063153726237443,-0.20026440423779002,0.07145258350540103,0.2768566705446679,0.01471853784994876,0.031211701183268617,-0.20565229255659026,0.1056450558170946,-0.2830136256315734,0.019569089195685046,0.10545561875263153,-0.23710378555443418,-0.05601414569376846,0.484606158290209
Native,-0.034636892352333463,0.030298634553953454,-0.030298670938064598,-0.039617111660972815,-0.0739687076599078,-0.05240003809977207,1.0,-0.04127110568240043,0.008685680262813147,-0.0028147176700180384,-0.07208405899552837,-0.05786854594392988,-0.07525371649342778,-0.05445161726079605,0.0869303307801778,0.0716590847427743,-0.04338844940896299,0.05278722020115245,-0.04635386768921001,0.07203365758729471,0.0071985440491729134,-0.016427895641685168,0.04498476993496379,-0.04140796534510616,0.05293366163527571,0.04493796067609879,0.027666286393649805,-0.06613016762261678,-0.10326802385914569,-0.22464881060657613,0.24082982357534544,0.010600821026728708,0.026356468572645488,0.09229574220447567
Asian,0.10135938535300992,0.01502300033382695,-0.015022990312689099,0.031586261755627565,-0.2531238353359754,-0.10787129068635554,-0.04127110568240043,1.0,0.1648394424037484,-0.22558492748385545,0.2828936149873298,0.21906088159680434,0.20812874295755196,0.1339238040964067,-0.12344629456692696,-0.1571679329704667,0.26745674433881617,-0.08114699335369721,-0.037273829780436245,-0.2405928418143264,-0.2224707855746377,-0.2470213226984733,-0.013327594560339046,0.2486328763443677,0.10727655161513243,0.050853045465740127,0.04966535995451375,0.1884954659751694,0.18721386577986632,0.06933979540655895,-0.06451847679359397,-0.02033527990614554,-0.02317465254177723,-0.10758283674325518
Pacific,0.02524190740824114,0.026472046024747307,-0.026472041920101885,0.018791912984086175,-0.09508330602236345,-0.03751937284179812,0.008685680262813147,0.1648394424037484,1.0,-0.06210532660525989,0.007837997708140951,0.0130037054924785,-0.026406158383128167,-0.015562269302075209,0.008010192646208862,0.0028859759578153863,-0.03478761384599004,0.054135519171485263,0.02140737793225361,0.006029999919545867,-0.010593782271870416,-0.04135753912598935,0.06812628704531691,0.009124191889426026,0.007522645258217123,0.054377505801508845,-0.004487224262651658,0.0003779001898979911,-0.012807994367835192,-0.02709153212497697,0.033405382443236285,-0.006637621739200109,-0.0005711798447943521,0.005460553814417074
Citizen,-0.19895225626213695,-0.008600959036902642,0.00860090360981297,-0.6309776852068317,0.5898833432755908,-0.07040120778669888,-0.0028147176700180384,-0.22558492748385545,-0.06210532660525989,1.0,0.08525724299106407,0.04338922528570553,0.2688055379869,0.18636985154152622,-0.27424558880566957,-0.2869212916304303,0.3108203211325641,-0.277576079289211,0.10378878501818448,-0.24679540323617644,-0.19852082777007954,0.23935958515257347,-0.3332113550241205,-0.22460641831639766,0.05966624169066924,-0.08082518420501743,0.17725124772252912,-0.18744888986802782,0.13321909882362912,-0.21983358595179817,0.21490739777617854,0.04862503163209752,0.03840927101328117,-0.1626381579660294
Income,0.17420031799092567,0.0478459826479937,-0.04784599702872203,-0.22805213966302804,0.3147854606601269,-0.3105307635472975,-0.07208405899552837,0.2828936149873298,0.007837997708140951,0.08525724299106407,1.0,0.6153980883896784,0.8355691766024154,0.49861832473772083,-0.7035834338692003,-0.6638780213080775,0.733445368452755,-0.5881139565909824,-0.06758473630950351,-0.33299611582844724,-0.49994261623161956,0.08496696944163042,-0.2877332116803061,-0.00962522237374502,-0.14719163801852173,-0.10542808038871808,0.3786867751052925,0.22963408863515988,0.45728619691446504,-0.03613709486721535,-0.007252778085579569,0.08995419691911388,0.004328042928855596,-0.4852062676673574
IncomeErr,-0.0058843347531200175,0.0244852642898504,-0.024485242607813592,-0.0957032177749529,0.1024401371443771,-0.12588377147940194,-0.05786854594392988,0.21906088159680434,0.0130037054924785,0.04338922528570553,0.6153980883896784,1.0,0.6041643362462397,0.5181028443193076,-0.3558539562806212,-0.35298231967904325,0.492462505197151,-0.33003535482907664,-0.055183406799576146,-0.2567337061580748,-0.37195593532741666,-0.09046026759525833,-0.19814968043356163,0.11182842348061454,0.007652517947110866,-0.0008652644074190266,0.2871663047904291,0.18165401715653348,0.2318681707594585,-0.019232043595740624,-0.023494726848548177,0.08572838335368213,0.0008462363680606993,-0.2451346929057411
IncomePerCap,0.03254431912191642,-0.014124964118478116,0.014124936759962434,-0.3087818783050477,0.38126792173487184,-0.28388411246695533,-0.07525371649342778,0.20812874295755196,-0.026406158383128167,0.2688055379869,0.8355691766024154,0.6041643362462397,1.0,0.7809020298078496,-0.6127749445716641,-0.5898821466483771,0.805211539829085,-0.5866739184621095,-0.10700904874945191,-0.4111343831154605,-0.5517116697471276,-0.015838175940194977,-0.35856455495835293,0.05376656647327279,-0.019264714568113402,-0.012426661933416837,0.44183019053953687,0.10129846280788442,0.4980832241404989,-0.020469608309342573,-0.06567981820627386,0.16773519720567137,0.013901599489622307,-0.4709255237775934
IncomePerCapErr,-0.09136262515943962,-0.015566746299474118,0.015566743505413774,-0.16747120343750302,0.17913554138376858,-0.12058710571263538,-0.05445161726079605,0.1339238040964067,-0.015562269302075209,0.18636985154152622,0.49861832473772083,0.5181028443193076,0.7809020298078496,1.0,-0.29563123666927327,-0.2938810591295597,0.5479954516091894,-0.3422424049166448,-0.08720601639052342,-0.30702045620804086,-0.404524773752341,-0.1253941918501514,-0.24408229492946992,0.10804837806350531,0.08613453633994732,0.06318819663839871,0.350310298915657,0.04553832184136338,0.2643775202776294,-0.00358441131050796,-0.08103745198653962,0.1612787131927098,0.015234650392629728,-0.24212435240224225
Poverty,-0.15154649096165054,-0.05229985599702989,0.05230000402085662,0.35006581147879257,-0.5297400031310289,0.4110725736880926,0.0869303307801778,-0.12344629456692696,0.008010192646208862,-0.27424558880566957,-0.7035834338692003,-0.3558539562806212,-0.6127749445716641,-0.29563123666927327,1.0,0.898781367015817,-0.5493317480245393,0.592450354106892,-0.027952470414001906,0.17110565002889672,0.33196853019120937,-0.30676456785991124,0.2680903837905989,0.1784495292379371,0.28540457682317494,0.2114337028930747,-0.25162753464613363,-0.11252264605272053,-0.5576417023899441,0.053665827122150254,-0.014308482357635979,-0.0839834850732692,-0.018707388887326346,0.6451226717564238
ChildPoverty,-0.14605482114386337,-0.06192795476890629,0.061928104976019735,0.3235979254496463,-0.49859099701993115,0.4131076655948531,0.0716590847427743,-0.1571679329704667,0.0028859759578153863,-0.2869212916304303,-0.6638780213080775,-0.35298231967904325,-0.5898821466483771,-0.2938810591295597,0.898781367015817,1.0,-0.5741525534138938,0.5583580249443394,-0.014064821814954104,0.21123590891489818,0.3754970155741543,-0.21481400771344925,0.2843047119573084,0.13367977983521223,0.145851035619153,0.15024527034032317,-0.2647431417642919,-0.08803853477431309,-0.5386901518336547,0.07492559580522665,-0.04587526448572912,-0.0688252598762905,-0.015367409898864938,0.6000819581017282
Professional,0.07685447697732699,-0.033009064739720324,0.03300909018908848,-0.3356927568864386,0.35148529080881574,-0.2473963120683515,-0.04338844940896299,0.26745674433881617,-0.03478761384599004,0.3108203211325641,0.733445368452755,0.492462505197151,0.805211539829085,0.5479954516091894,-0.5493317480245393,-0.5741525534138938,1.0,-0.6585836120154269,-0.18579655151592328,-0.547988999356654,-0.6910842133973126,-0.009770703370719882,-0.4094913111972768,0.041731995030591613,0.04801613600725101,-0.004662836195017109,0.42462478238959456,0.047065354363599314,0.47668137443858927,-0.1573573001532605,0.1180687443098719,0.10681833233384187,-0.0010161944239335079,-0.45915762773516655
Service,-0.10953297701910499,-0.04445553480399285,0.04445559431863999,0.2901019547042832,-0.4747284623297229,0.3784200866701155,0.05278722020115245,-0.08114699335369721,0.054135519171485263,-0.277576079289211,-0.5881139565909824,-0.33003535482907664,-0.5866739184621095,-0.3422424049166448,0.592450354106892,0.5583580249443394,-0.6585836120154269,1.0,-0.09361194730579687,0.11138660181877294,0.20564650097575868,-0.2749348667488557,0.2513692694458593,0.22816358037711912,0.15830970000685854,0.13277359026394425,-0.278451597594387,-0.03924464422466081,-0.3620355114635366,0.05653077752962427,-0.010568389256917962,-0.09582456564264384,-0.02995940554124786,0.475747332073361
Office,0.0700857992662489,-0.1627616519389739,0.16276165200938678,0.007189350752138703,-0.029643104333487495,0.056579247822550645,-0.04635386768921001,-0.037273829780436245,0.02140737793225361,0.10378878501818448,-0.06758473630950351,-0.055183406799576146,-0.10700904874945191,-0.08720601639052342,-0.027952470414001906,-0.014064821814954104,-0.18579655151592328,-0.09361194730579687,1.0,-0.18650261031534765,-0.1423840701533753,0.14263098779105787,-0.07258107059466176,-0.06367593684795371,-0.0822153405279934,-0.10868977406428333,-0.08549404584672621,0.010534330137471539,-0.023597392808707717,0.11721664059004179,-0.04612026549304143,-0.15564702821041734,-0.035204173562043334,0.04898305387202568
Construction,-0.013678198659694232,0.21586981090847338,-0.21587009021444445,0.2691392793869545,-0.04085935373921484,-0.13098322049896918,0.07203365758729471,-0.2405928418143264,0.006029999919545867,-0.24679540323617644,-0.33299611582844724,-0.2567337061580748,-0.4111343831154605,-0.30702045620804086,0.17110565002889672,0.21123590891489818,-0.547988999356654,0.11138660181877294,-0.18650261031534765,1.0,0.3153237198613901,0.11403376768377275,0.3494201781759785,-0.19276116744801156,-0.12245961922078648,-0.015047753879673666,-0.16322271354432943,0.0322358129705373,-0.2585025862878347,-0.06202628638178474,-0.019175297928638677,0.15969747111652735,0.07247916089669738,0.09601209304018903
Production,-0.07588592743510343,0.06621909936838606,-0.06621899378202914,0.13265565649426533,-0.127589810157367,0.14063153726237443,0.0071985440491729134,-0.2224707855746377,-0.010593782271870416,-0.19852082777007954,-0.49994261623161956,-0.37195593532741666,-0.5517116697471276,-0.404524773752341,0.33196853019120937,0.3754970155741543,-0.6910842133973126,0.20564650097575868,-0.1423840701533753,0.3153237198613901,1.0,0.11741098278621671,0.3167802720851995,-0.12790960641185686,-0.10640987022387587,-0.039593603584320056,-0.3443156207876455,-0.08375293583358367,-0.3289103921450696,0.20937247780510077,-0.17134504104522677,-0.11520895121331447,0.0038919756706146356,0.2805968643134432
Drive,0.10970066701859722,-0.015927635067160287,0.015927485853904955,-0.18980466009606256,0.36642478102260917,-0.20026440423779002,-0.016427895641685168,-0.2470213226984733,-0.04135753912598935,0.23935958515257347,0.08496696944163042,-0.09046026759525833,-0.015838175940194977,-0.1253941918501514,-0.30676456785991124,-0.21481400771344925,-0.009770703370719882,-0.2749348667488557,0.14263098779105787,0.11403376768377275,0.11741098278621671,1.0,-0.133524307695417,-0.8276461928064093,-0.5904894995195914,-0.3656612801225902,-0.16795915816783022,-0.2891109668347698,0.01844196396468611,-0.02370368198671443,0.05224673091832716,-0.0502575269168077,0.0016742767274834515,-0.19363703192128887
Carpool,0.012217357485273165,0.06964437604173769,-0.06964440491376699,0.2673970668410765,-0.2589417743369743,0.07145258350540103,0.04498476993496379,-0.013327594560339046,0.06812628704531691,-0.3332113550241205,-0.2877332116803061,-0.19814968043356163,-0.35856455495835293,-0.24408229492946992,0.2680903837905989,0.2843047119573084,-0.4094913111972768,0.2513692694458593,-0.07258107059466176,0.3494201781759785,0.3167802720851995,-0.133524307695417,1.0,-0.15938895265587089,-0.10577916711810012,0.0028709969946035946,-0.2162317354887543,-0.04544637111283465,-0.2143051851624314,0.05550375765227277,-0.049710090843044924,-0.02422090170075488,0.018039150635137936,0.20077782643373665
Transit,-0.0780013557412931,-0.08202770365078052,0.08202793427446614,0.13616037291076216,-0.36829016004960274,0.2768566705446679,-0.04140796534510616,0.2486328763443677,0.009124191889426026,-0.22460641831639766,-0.00962522237374502,0.11182842348061454,0.05376656647327279,0.10804837806350531,0.1784495292379371,0.13367977983521223,0.041731995030591613,0.22816358037711912,-0.06367593684795371,-0.19276116744801156,-0.12790960641185686,-0.8276461928064093,-0.15938895265587089,1.0,0.2717796003553341,0.12969591109653655,-0.04783766895079256,0.46894251622726973,0.044167330155099147,0.07192453636531781,-0.04802457603166443,-0.05399383471146443,-0.05212836438035157,0.1679085048055398
Walk,-0.11323888655534209,0.07739046714877798,-0.07739039494724657,0.024226420104745676,-0.07237545769600666,0.01471853784994876,0.05293366163527571,0.10727655161513243,0.007522645258217123,0.05966624169066924,-0.14719163801852173,0.007652517947110866,-0.019264714568113402,0.08613453633994732,0.28540457682317494,0.145851035619153,0.04801613600725101,0.15830970000685854,-0.0822153405279934,-0.12245961922078648,-0.10640987022387587,-0.5904894995195914,-0.10577916711810012,0.2717796003553341,1.0,0.24673470019183608,0.08632878137969854,-0.14693098241486166,-0.018450628536377703,-0.022343310419363948,0.03185566850405554,-0.015093324050256955,0.01037105345174776,0.08228146901793577
OtherTransp,-0.060101880465561745,0.07001097102963974,-0.07001114497639833,0.12048330704167459,-0.14166538661542152,0.031211701183268617,0.04493796067609879,0.050853045465740127,0.054377505801508845,-0.08082518420501743,-0.10542808038871808,-0.0008652644074190266,-0.012426661933416837,0.06318819663839871,0.2114337028930747,0.15024527034032317,-0.004662836195017109,0.13277359026394425,-0.10868977406428333,-0.015047753879673666,-0.039593603584320056,-0.3656612801225902,0.0028709969946035946,0.12969591109653655,0.24673470019183608,1.0,0.039686975925995564,-0.08758688273083055,0.01057791917134036,-0.003994000093046537,-0.018469669034989054,0.04419629917763982,-0.0023215224722056087,0.08486689557268982
WorkAtHome,-0.013403435590424001,0.06742730491809808,-0.0674273761712917,-0.15390470165575468,0.2416540300966295,-0.20565229255659026,0.027666286393649805,0.04966535995451375,-0.004487224262651658,0.17725124772252912,0.3786867751052925,0.2871663047904291,0.44183019053953687,0.350310298915657,-0.25162753464613363,-0.2647431417642919,0.42462478238959456,-0.278451597594387,-0.08549404584672621,-0.16322271354432943,-0.3443156207876455,-0.16795915816783022,-0.2162317354887543,-0.04783766895079256,0.08632878137969854,0.039686975925995564,1.0,0.02989987546969589,0.10840825768475594,-0.17629609060803397,-0.02430244211986572,0.4057112603622984,0.120384570635899,-0.20451456714222127
MeanCommute,0.10440927478932814,-0.03520289234191629,0.035203053944508726,0.11982330969911671,-0.2072411826980946,0.1056450558170946,-0.06613016762261678,0.1884954659751694,0.0003779001898979911,-0.18744888986802782,0.22963408863515988,0.18165401715653348,0.10129846280788442,0.04553832184136338,-0.11252264605272053,-0.08803853477431309,0.047065354363599314,-0.03924464422466081,0.010534330137471539,0.0322358129705373,-0.08375293583358367,-0.2891109668347698,-0.04544637111283465,0.46894251622726973,-0.14693098241486166,-0.08758688273083055,0.02989987546969589,1.0,-0.007860643431791247,0.008232967596985883,-0.024508731327524527,0.03180181381136696,-0.018711047263740305,0.0844564834944844
Employed,0.07204496644723352,0.0031707997588357574,-0.0031708728605678114,-0.18938039453996228,0.2983184043993366,-0.2830136256315734,-0.10326802385914569,0.18721386577986632,-0.012807994367835192,0.13321909882362912,0.45728619691446504,0.2318681707594585,0.4980832241404989,0.2643775202776294,-0.5576417023899441,-0.5386901518336547,0.47668137443858927,-0.3620355114635366,-0.023597392808707717,-0.2585025862878347,-0.3289103921450696,0.01844196396468611,-0.2143051851624314,0.044167330155099147,-0.018450628536377703,0.01057791917134036,0.10840825768475594,-0.007860643431791247,1.0,0.15285959112379935,-0.1631882519181241,-0.005967272842846628,-0.03877130269851319,-0.6031143688303625
PrivateWork,0.042290811286524704,-0.045665647549142804,0.04566564412419673,0.05754173433805189,-0.039452557559111576,0.019569089195685046,-0.22464881060657613,0.06933979540655895,-0.02709153212497697,-0.21983358595179817,-0.03613709486721535,-0.019232043595740624,-0.020469608309342573,-0.00358441131050796,0.053665827122150254,0.07492559580522665,-0.1573573001532605,0.05653077752962427,0.11721664059004179,-0.06202628638178474,0.20937247780510077,-0.02370368198671443,0.05550375765227277,0.07192453636531781,-0.022343310419363948,-0.003994000093046537,-0.17629609060803397,0.008232967596985883,0.15285959112379935,1.0,-0.8761562514788485,-0.42170771859018197,-0.12864486142802942,0.0071422628186618665
PublicWork,-0.002736497423051337,0.006900100628468243,-0.006900053291420855,-0.09455587128392985,-0.02780746304826566,0.10545561875263153,0.24082982357534544,-0.06451847679359397,0.033405382443236285,0.21490739777617854,-0.007252778085579569,-0.023494726848548177,-0.06567981820627386,-0.08103745198653962,-0.014308482357635979,-0.04587526448572912,0.1180687443098719,-0.010568389256917962,-0.04612026549304143,-0.019175297928638677,-0.17134504104522677,0.05224673091832716,-0.049710090843044924,-0.04802457603166443,0.03185566850405554,-0.018469669034989054,-0.02430244211986572,-0.024508731327524527,-0.1631882519181241,-0.8761562514788485,1.0,-0.06400739403786682,0.00885159579300193,0.050665669503802316
SelfEmployed,-0.08051963143803757,0.0790106990575251,-0.07901076898732606,0.06291458591363666,0.12911356649911765,-0.23710378555443418,0.010600821026728708,-0.02033527990614554,-0.006637621739200109,0.04862503163209752,0.08995419691911388,0.08572838335368213,0.16773519720567137,0.1612787131927098,-0.0839834850732692,-0.0688252598762905,0.10681833233384187,-0.09582456564264384,-0.15564702821041734,0.15969747111652735,-0.11520895121331447,-0.0502575269168077,-0.02422090170075488,-0.05399383471146443,-0.015093324050256955,0.04419629917763982,0.4057112603622984,0.03180181381136696,-0.005967272842846628,-0.42170771859018197,-0.06400739403786682,1.0,0.13666893723007945,-0.10928800074812878
FamilyWork,-0.03226033195520046,0.03784269200882444,-0.037842806691900543,-0.02736454657224898,0.064826037543676,-0.05601414569376846,0.026356468572645488,-0.02317465254177723,-0.0005711798447943521,0.03840927101328117,0.004328042928855596,0.0008462363680606993,0.013901599489622307,0.015234650392629728,-0.018707388887326346,-0.015367409898864938,-0.0010161944239335079,-0.02995940554124786,-0.035204173562043334,0.07247916089669738,0.0038919756706146356,0.0016742767274834515,0.018039150635137936,-0.05212836438035157,0.01037105345174776,-0.0023215224722056087,0.120384570635899,-0.018711047263740305,-0.03877130269851319,-0.12864486142802942,0.00885159579300193,0.13666893723007945,1.0,-0.025878688268027184
Unemployment,-0.12643675083125408,-0.09275695364671711,0.09275697123510347,0.22536550759032234,-0.49532152720039246,0.484606158290209,0.09229574220447567,-0.10758283674325518,0.005460553814417074,-0.1626381579660294,-0.4852062676673574,-0.2451346929057411,-0.4709255237775934,-0.24212435240224225,0.6451226717564238,0.6000819581017282,-0.45915762773516655,0.475747332073361,0.04898305387202568,0.09601209304018903,0.2805968643134432,-0.19363703192128887,0.20077782643373665,0.1679085048055398,0.08228146901793577,0.08486689557268982,-0.20451456714222127,0.0844564834944844,-0.6031143688303625,0.0071422628186618665,0.050665669503802316,-0.10928800074812878,-0.025878688268027184,1.0
